campaignTitle,title_word_ct,title_word_match,title_word_score,blurb_word_ct,blurb_word_match,blurb_word_score
Chances - Life Skills Coaching,2.00E+00,0.00E+00,0.00E+00,4.00E+00,1.00E+00,1.00E+01
Monster Illustration Enamel Pins,5.00E+00,1.00E+00,4.60E+01,2.30E+01,1.10E+01,1.25E+03
Free the Green Bean on to the next level,5.00E+00,2.00E+00,1.00E+01,2.30E+01,1.30E+01,3.78E+02
WE THE FREAKS - Short Film,1.00E+01,5.00E+00,6.30E+01,2.20E+01,1.20E+01,2.21E+03
Fickle & Hollow EP,6.00E+00,2.00E+00,5.00E+01,1.10E+01,8.00E+00,3.22E+02
1942 Stalingrad Commisar House Wargaming Map in Scale,5.00E+00,1.00E+00,1.00E+00,2.60E+01,1.20E+01,2.50E+03
Fimbulvinter,9.00E+00,2.00E+00,7.00E+00,2.30E+01,8.00E+00,1.42E+03
RUDSPICE,2.00E+00,0.00E+00,0.00E+00,1.80E+01,7.00E+00,1.34E+02
The D4 Portaledge,2.00E+00,0.00E+00,0.00E+00,2.10E+01,7.00E+00,6.68E+02
DEMI - GOD WORLD TOUR,4.00E+00,0.00E+00,0.00E+00,2.40E+01,1.10E+01,1.91E+03
Presenting | Bozwell + Lily,5.00E+00,2.00E+00,1.83E+02,2.60E+01,1.40E+01,9.05E+02
M.I.A Series (TV Pilot),5.00E+00,1.00E+00,1.00E+00,2.00E+01,8.00E+00,1.24E+02
A Very Oregon Childhood,7.00E+00,2.00E+00,3.30E+01,2.00E+01,1.10E+01,2.14E+03
Mass Anthem - New Album,5.00E+00,2.00E+00,6.00E+00,2.20E+01,1.30E+01,6.23E+02
"El Norte v Boston ""Bull"" Terrier",5.00E+00,2.00E+00,4.90E+01,2.70E+01,1.50E+01,1.97E+03
#Stop22,7.00E+00,2.00E+00,5.00E+00,2.70E+01,9.00E+00,5.23E+02
Ways To My Heart Alphabet Book,2.00E+00,0.00E+00,0.00E+00,2.70E+01,1.20E+01,1.05E+03
KIZINGO Toddler Spoon for Left & Right-Handed Eaters,7.00E+00,4.00E+00,8.80E+01,1.80E+01,1.10E+01,1.44E+03
How to cope: A father's guide to loss,1.00E+01,3.00E+00,6.00E+00,2.10E+01,1.00E+01,1.73E+03
"VISION 2 VICTORY M,B,S, EXPERIENCE: the Hampton Roads tour",1.00E+01,2.00E+00,1.60E+01,2.50E+01,1.20E+01,3.02E+03
Arc Reactor Orbit,1.20E+01,4.00E+00,3.10E+01,2.20E+01,1.20E+01,3.03E+02
Balance In The Meaning Of Life,4.00E+00,1.00E+00,5.00E+00,2.10E+01,1.20E+01,2.53E+03
Red Eye Termite Station,7.00E+00,2.00E+00,4.70E+01,2.40E+01,1.30E+01,1.47E+03
Bobby Deitch Band: Grateful LP- Fulfilling a musical dream.,5.00E+00,1.00E+00,8.00E+00,2.10E+01,8.00E+00,7.49E+02
THOR GENESIS - A Desilu Studios Production,1.00E+01,4.00E+00,2.20E+01,2.40E+01,1.10E+01,4.69E+02
Kickstart a Writing Career ,7.00E+00,3.00E+00,9.00E+00,2.30E+01,1.00E+01,1.36E+03
Project Child: Origins,5.00E+00,2.00E+00,4.00E+00,2.50E+01,1.20E+01,1.32E+03
Earth III Guitar Straps- Worn by every famous guitar player!,4.00E+00,3.00E+00,4.80E+01,2.20E+01,1.20E+01,4.79E+02
BBO | The World's First Boardshort Bottle Opener,1.10E+01,7.00E+00,3.80E+01,2.50E+01,1.40E+01,7.96E+02
Mondo+,9.00E+00,4.00E+00,3.06E+02,2.60E+01,1.20E+01,1.77E+03
Bastion Kord,2.00E+00,0.00E+00,0.00E+00,1.10E+01,6.00E+00,1.69E+03
Dragon Lore : Expedition of the mystic islands,3.00E+00,0.00E+00,0.00E+00,2.20E+01,1.30E+01,1.30E+03
SHFT IQ - Become A Better Runner With Your Virtual Coach,8.00E+00,2.00E+00,1.20E+01,1.60E+01,1.20E+01,1.03E+03
KAMUNIQUE Next Recordings,1.10E+01,7.00E+00,3.95E+02,2.40E+01,1.10E+01,2.06E+03
Medshift X-change,4.00E+00,2.00E+00,2.50E+01,2.30E+01,1.30E+01,1.81E+03
Master Classes on Traditional Japanese Metalsmithing,4.00E+00,1.00E+00,8.00E+00,2.10E+01,1.10E+01,7.72E+02
OUTLIVE TRUMP- Help Us IMPEACH Donald Trump!,7.00E+00,2.00E+00,8.00E+00,1.80E+01,1.00E+01,2.19E+02
Overwatch D.VA Gun Lapel Pins!,8.00E+00,2.00E+00,8.00E+00,1.80E+01,4.00E+00,2.23E+02
Blue Balls: Pin-Up Calendar for Testicular Cancer Awareness,7.00E+00,0.00E+00,0.00E+00,2.40E+01,8.00E+00,6.02E+02
Football Concierge #05,1.00E+01,5.00E+00,1.70E+01,2.20E+01,7.00E+00,1.16E+02
The Forward's Coverage of the Leo Frank Case In English,4.00E+00,1.00E+00,1.00E+00,2.70E+01,8.00E+00,2.89E+03
sushinetea's innovative full-leaf artisanal Tea Sticks,1.20E+01,4.00E+00,2.90E+01,2.10E+01,1.00E+01,5.20E+02
